Number of nodes,Number of edges,Edge probability,Algorithm,Results,Number of basic operations,Execution time,Number of solutions tested
8,8,0.125,Exhaustive Search,"[[6, 7], [5, 7], [4, 7], [3, 4], [2, 7], [1, 6], [1, 3], [0, 1]]",335,0.005080699920654297,247
8,8,0.125,Maximal Clique - Simple Greedy,"[3, 4]",2,5.340576171875e-05,8
8,8,0.125,Maximum Clique - Branch Bound Greedy,"[1, 3]",Not used,0.0003039836883544922,19
8,18,0.25,Exhaustive Search,"[[4, 5, 6, 7], [1, 4, 5, 6], [1, 3, 4, 6], [0, 3, 4, 6]]",340,0.0052416324615478516,164
8,18,0.25,Maximal Clique - Simple Greedy,"[0, 3, 4, 6]",9,7.367134094238281e-05,8
8,18,0.25,Maximum Clique - Branch Bound Greedy,"[1, 3, 4, 6]",Not used,0.00011229515075683594,20
8,19,0.5,Exhaustive Search,"[[3, 5, 6, 7], [2, 4, 6, 7], [2, 3, 6, 7], [0, 3, 5, 7]]",324,0.005987405776977539,164
8,19,0.5,Maximal Clique - Simple Greedy,"[2, 3, 6, 7]",9,5.936622619628906e-05,8
8,19,0.5,Maximum Clique - Branch Bound Greedy,"[2, 4, 6, 7]",Not used,0.0004506111145019531,23
8,23,0.75,Exhaustive Search,"[[0, 3, 5, 6, 7], [0, 3, 4, 5, 6], [0, 2, 3, 6, 7], [0, 2, 3, 4, 6]]",546,0.0026493072509765625,95
8,23,0.75,Maximal Clique - Simple Greedy,"[0, 1, 2, 4]",12,6.008148193359375e-05,8
8,23,0.75,Maximum Clique - Branch Bound Greedy,"[0, 2, 3, 4, 6]",Not used,0.00011324882507324219,24
9,9,0.125,Exhaustive Search,"[[2, 5, 6]]",483,0.007348299026489258,467
9,9,0.125,Maximal Clique - Simple Greedy,"[0, 7]",3,0.0001227855682373047,9
9,9,0.125,Maximum Clique - Branch Bound Greedy,"[2, 5, 6]",Not used,0.00012612342834472656,25
9,13,0.25,Exhaustive Search,"[[4, 5, 7], [2, 3, 6], [1, 6, 8], [1, 2, 6]]",611,0.007263660430908203,467
9,13,0.25,Maximal Clique - Simple Greedy,"[2, 3, 6]",3,5.364418029785156e-05,9
9,13,0.25,Maximum Clique - Branch Bound Greedy,"[1, 2, 6]",Not used,0.0001087188720703125,26
9,27,0.5,Exhaustive Search,"[[2, 3, 6, 7, 8], [2, 3, 4, 7, 8], [2, 3, 4, 5, 7]]",838,0.0063629150390625,262
9,27,0.5,Maximal Clique - Simple Greedy,"[1, 4, 7, 8]",11,5.602836608886719e-05,9
9,27,0.5,Maximum Clique - Branch Bound Greedy,"[2, 3, 4, 7, 8]",Not used,0.00010704994201660156,27
9,25,0.75,Exhaustive Search,"[[2, 3, 6, 8], [1, 3, 5, 6], [1, 2, 3, 6], [0, 4, 5, 7], [0, 1, 4, 5], [0, 1, 2, 4]]",1182,0.009822368621826172,387
9,25,0.75,Maximal Clique - Simple Greedy,"[1, 2, 3, 6]",9,0.00010418891906738281,9
9,25,0.75,Maximum Clique - Branch Bound Greedy,"[2, 3, 6, 8]",Not used,0.00039315223693847656,30
10,11,0.125,Exhaustive Search,"[[0, 4, 9]]",1082,0.015769004821777344,969
10,11,0.125,Maximal Clique - Simple Greedy,"[3, 8]",1,7.271766662597656e-05,10
10,11,0.125,Maximum Clique - Branch Bound Greedy,"[0, 4, 9]",Not used,0.0003361701965332031,33
10,23,0.25,Exhaustive Search,"[[3, 4, 7, 8, 9]]",1100,0.015437602996826172,644
10,23,0.25,Maximal Clique - Simple Greedy,"[2, 5]",3,8.130073547363281e-05,10
10,23,0.25,Maximum Clique - Branch Bound Greedy,"[3, 4, 7, 8, 9]",Not used,0.00015020370483398438,34
10,34,0.5,Exhaustive Search,"[[1, 2, 7, 8, 9], [1, 2, 5, 7, 8], [0, 3, 4, 6, 9]]",1813,0.01682567596435547,667
10,34,0.5,Maximal Clique - Simple Greedy,"[0, 2, 3, 9]",10,6.413459777832031e-05,10
10,34,0.5,Maximum Clique - Branch Bound Greedy,"[1, 2, 5, 7, 8]",Not used,0.0022089481353759766,55
10,32,0.75,Exhaustive Search,"[[0, 1, 2, 6, 8, 9]]",1457,0.010200023651123047,421
10,32,0.75,Maximal Clique - Simple Greedy,"[2, 3, 4, 5, 6]",14,6.103515625e-05,10
10,32,0.75,Maximum Clique - Branch Bound Greedy,"[0, 1, 2, 6, 8, 9]",Not used,0.00011444091796875,56
